岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
后端开发实习生,300-400/天,本科,实习6个月,北京,,,
后端开发实习,100-150/天,本科,实习3个月,北京,,：1. 计算机相关专业本科及以上学历；2. 实习期保证3个月以上，一周不少于4天的工作时间；3. 熟练使用Spring、Mybatis等开源框架进行开发，熟悉常用的Java设计模式；4. 熟悉数据库技术，了解MySQL/Oracle/PostgreSQL至少一种数据库；5. 了解Redis缓存、Kafka消息队列、Netty通信等中间件；6. 具备较好的计算机基础能力，了解算法、数据结构、网络等相关知识；7. 具备良好的团队协作精神，有较好的沟通能力、执行力,：1. 计算机相关专业本科及以上学历；2. 实习期保证3个月以上，一周不少于4天的工作时间；3. 熟练使用Spring、Mybatis等开源框架进行开发，熟悉常用的Java设计模式；4. 熟悉数据库技术，了解MySQL/Oracle/PostgreSQL至少一种数据库；5. 了解Redis缓存、Kafka消息队列、Netty通信等中间件；6. 具备较好的计算机基础能力，了解算法、数据结构、网络等相关知识；7. 具备良好的团队协作精神，有较好的沟通能力、执行力
后端开发实习生,150-200/天,不限,实习3个月,深圳,:1.负责数据产品系统功能开发；2.参与数据中台产品技术迭代。任职资格:1.良好的设计和编码品味，热爱写代码2.较好的产品意识，愿意将产品效果做为工作最重要的驱动因素3.掌握 Web 后端开发技术: 协议、架构、存储、缓存、安全等，熟悉 Python4.积极乐观，认真负责，乐于协作5.每周可以实习4天及以上，连续实习3个月以上,[],[]
后端开发实习生,250-300/天,不限,实习3个月,上海,,,
后端开发实习生,200-250/天,本科,实习3个月,上海,,,
后端开发实习生,200-250/天,本科,实习6个月,北京,,】1.  本科及以上学历，计算机相关专业；2.  热爱计算机科学和互联网技术，精通至少一门语言，包括但不限于java、c、c++、php、python、go；3.  掌握扎实的计算机基础知识，深入理解数据结构、算法和操作系统知识；4.  有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；5.  有强烈的求知欲、优秀的学习能力及沟通能力,】1.  本科及以上学历，计算机相关专业；2.  热爱计算机科学和互联网技术，精通至少一门语言，包括但不限于java、c、c++、php、python、go；3.  掌握扎实的计算机基础知识，深入理解数据结构、算法和操作系统知识；4.  有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；5.  有强烈的求知欲、优秀的学习能力及沟通能力
后端开发助理,120-200/天,大专,实习3个月,成都,,,
后端开发实习生,400-500/天,本科,实习3个月,深圳,：1. 负责智能驾驶项目中各类业务系统的Web后端设计、开发和维护；2. 负责保证业务系统的安全、高可用性和可靠性；3. 持续钻研和分享前沿后端技术,：1. 计算机相关专业，本科及以上学历在校学生，能实习3个月以上；2. 对自动驾驶行业感兴趣，有基本的行业认知；3. 扎实的编程能力，有优秀的设计能力和代码品味，热爱编程；4. 深刻理解计算机原理，有良好的数据结构和算法基础；5. 熟悉 Java 或 Golang 编程，熟悉相关的开发生态；6. 对MySQL、Redis、消息队列等常用组件有一定的实践经验；7. 具备良好的沟通及协调能力、团队合作、责任心，热爱学习,：1. 计算机相关专业，本科及以上学历在校学生，能实习3个月以上；2. 对自动驾驶行业感兴趣，有基本的行业认知；3. 扎实的编程能力，有优秀的设计能力和代码品味，热爱编程；4. 深刻理解计算机原理，有良好的数据结构和算法基础；5. 熟悉 Java 或 Golang 编程，熟悉相关的开发生态；6. 对MySQL、Redis、消息队列等常用组件有一定的实践经验；7. 具备良好的沟通及协调能力、团队合作、责任心，热爱学习
后端开发实习生,180-200/天,本科,实习4个月,苏州,,"- 学士学位及以上学历，计算机科学与技术、软件工程或其它相关专业；- 具备较好计算机专业相关知识，如操作系统，算法，数据结构，掌握一种或多种开发语言，如：C, C++, C#, JAVA；- 对编程感兴趣，备一定的项目开发经验者优先；- 良好的学习能力和逻辑思考能力；- 良好的英语说写能力；- 经过学校和导师同意","- 学士学位及以上学历，计算机科学与技术、软件工程或其它相关专业；- 具备较好计算机专业相关知识，如操作系统，算法，数据结构，掌握一种或多种开发语言，如：C, C++, C#, JAVA；- 对编程感兴趣，备一定的项目开发经验者优先；- 良好的学习能力和逻辑思考能力；- 良好的英语说写能力；- 经过学校和导师同意"
后端开发实习生,180-250/天,本科,实习3个月,西安,,：1、本科及以上学历，数学类、计算机类、电子类等相关专业，原则上至少实习三个月；2、熟练掌握至少一种编程语言，如Java/Python/go；3、熟练掌握SQL技能，熟悉主流数据库Mysql ，Oracle；4、热爱技术，对新技术敏感，有良好的编程风格，具备良好的学习能力和团队沟通协作能力,：1、本科及以上学历，数学类、计算机类、电子类等相关专业，原则上至少实习三个月；2、熟练掌握至少一种编程语言，如Java/Python/go；3、熟练掌握SQL技能，熟悉主流数据库Mysql ，Oracle；4、热爱技术，对新技术敏感，有良好的编程风格，具备良好的学习能力和团队沟通协作能力
