岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
Java开发工程实习生,180-250/天,大专,实习5个月,南京,：1、参与项目前期需求调研分析与设计工作； 2、按照具体要求执行开发任务，按计划独立完成开发、编程任务； 3、参与相关的系统测试及部署工作； 4、进行编制项目文档和质量记录的工作； 5、维护软件使之保持可用性和稳定性；  岗位要求： 1、大专及以上学历； 2、接受计算机相关专业实习生并提供转正机会； 3、有相关开发经验者优先考虑；   公司福利： 1、公司实行双休制，正常上班时间为：周一至周五9：00-12：00 、14：00-17：30； 2、公司对符合条件的员工可提供住宿及交通补贴，公司有免费班车； 3、在公司工作满一年后，每年可享受工龄补贴； 4、公司在年终时将发放年终奖金（视公司业绩状况发放）； 5、员工按照国家规定办理社保。6、完成项目经理交办的其他工作,执行开发任务，按计划独立完成开发、编程任务； 3、参与相关的系统测试及部署工作； 4、进行编制项目文档和质量记录的工作； 5、维护软件使之保持可用性和稳定性；  岗位要求： 1、大专及以上学历； 2、接受计算机相关专业实习生并提供转正机会； 3、有相关开发经验者优先考虑；   公司福利： 1、公司实行双休制，正常上班时间为：周一至周五9：00-12：00 、14：00-17：30； 2、公司对符合条件的员工可提供住宿及交通补贴，公司有免费班车； 3、在公司工作满一年后，每年可享受工龄补贴； 4、公司在年终时将发放年终奖金（视公司业绩状况发放）； 5、员工按照国家规定办理社保,执行开发任务，按计划独立完成开发、编程任务； 3、参与相关的系统测试及部署工作； 4、进行编制项目文档和质量记录的工作； 5、维护软件使之保持可用性和稳定性；  岗位要求： 1、大专及以上学历； 2、接受计算机相关专业实习生并提供转正机会； 3、有相关开发经验者优先考虑；   公司福利： 1、公司实行双休制，正常上班时间为：周一至周五9：00-12：00 、14：00-17：30； 2、公司对符合条件的员工可提供住宿及交通补贴，公司有免费班车； 3、在公司工作满一年后，每年可享受工龄补贴； 4、公司在年终时将发放年终奖金（视公司业绩状况发放）； 5、员工按照国家规定办理社保
Java开发工程师实习生,120-200/天,本科,实习3个月,福州,,：1、大学本科及以上学历，计算机、数学、软件、通信等相关专业；2、熟悉Linux/Unix系统，熟悉Python、Shell等脚本语言的优先；熟练编写SQL脚本，有MySQL、Oracle应用开发经验优先；熟悉JavaScript，有AngularJS、Vue应用开发经验优先；3、积极参加校内外软件编程大赛或积极参与编程开源社区组织的优先；4、热爱编程，有良好、严谨的编程习惯，有较强的学习能力、分析及解决问题能力，踏实勤恳的工作态度，有强烈的责任心和团队合作意识，抗压能力强,：1、大学本科及以上学历，计算机、数学、软件、通信等相关专业；2、熟悉Linux/Unix系统，熟悉Python、Shell等脚本语言的优先；熟练编写SQL脚本，有MySQL、Oracle应用开发经验优先；熟悉JavaScript，有AngularJS、Vue应用开发经验优先；3、积极参加校内外软件编程大赛或积极参与编程开源社区组织的优先；4、热爱编程，有良好、严谨的编程习惯，有较强的学习能力、分析及解决问题能力，踏实勤恳的工作态度，有强烈的责任心和团队合作意识，抗压能力强
暑期实习-Java实习生,80-120/天,本科,实习2个月,上海,,"：1、计算机或相关专业，本科及以上学历；2、JAVA基础扎实，理解IO、多线程等基础框架，对JVM原理有一定的了解；3、掌握SpringBoot, SpringCloud, SpringMVC, Mybatis等开发框架，熟悉SpringClound的产品线，了解分布式、微服务相关技术，熟悉Intellij IDEA/git/maven开发环境；4、熟练使用MySql、JDBC、JPA、Mybatis等数据库和框架，有良好的数据结构思维，具备一定的数据库性能调优经验；5、熟悉分布式系统设计中的缓存与消息处理机制，深入理解Redis，RabbitMQ/Kafka等技术的原理，并根据需求进行合理运用；6、熟悉容器技术，包括Docker，k8s等；7、有HTML、CSS、VUE、React前端项目开发经验的优先；8、有微信公众号开发经验的优先；8、有敏捷开发经验的优先；9、具有良好的表达能力和人际沟通技巧，具有良好的团队合作精神，工作认真负责，善于学习","：1、计算机或相关专业，本科及以上学历；2、JAVA基础扎实，理解IO、多线程等基础框架，对JVM原理有一定的了解；3、掌握SpringBoot, SpringCloud, SpringMVC, Mybatis等开发框架，熟悉SpringClound的产品线，了解分布式、微服务相关技术，熟悉Intellij IDEA/git/maven开发环境；4、熟练使用MySql、JDBC、JPA、Mybatis等数据库和框架，有良好的数据结构思维，具备一定的数据库性能调优经验；5、熟悉分布式系统设计中的缓存与消息处理机制，深入理解Redis，RabbitMQ/Kafka等技术的原理，并根据需求进行合理运用；6、熟悉容器技术，包括Docker，k8s等；7、有HTML、CSS、VUE、React前端项目开发经验的优先；8、有微信公众号开发经验的优先；8、有敏捷开发经验的优先；9、具有良好的表达能力和人际沟通技巧，具有良好的团队合作精神，工作认真负责，善于学习"
初级Java开发工程师,100-150/天,本科,实习6个月,成都,,"：1、大学本科及以上学历，计算机相关专业优先；2、熟悉JAVA WEB开发，有2-3个实际项目经验；3、熟悉spring、springboot、Mybatis等主流框架；4、熟悉JavaScript、JQuery、vue、CSS等技术；5、熟悉一种常用数据库（Oracle、SQLServer、MySQL等),能够熟练的写出常用sql语句， 有一定Linux基础，能够熟练使用Linux,MyEclipse常用工具；6、良好的沟通能力，工作认真负责，能承担工作压力；7、服从公司安排","：1、大学本科及以上学历，计算机相关专业优先；2、熟悉JAVA WEB开发，有2-3个实际项目经验；3、熟悉spring、springboot、Mybatis等主流框架；4、熟悉JavaScript、JQuery、vue、CSS等技术；5、熟悉一种常用数据库（Oracle、SQLServer、MySQL等),能够熟练的写出常用sql语句， 有一定Linux基础，能够熟练使用Linux,MyEclipse常用工具；6、良好的沟通能力，工作认真负责，能承担工作压力；7、服从公司安排"
JAVA初级开发实习生,120-200/天,本科,实习10个月,上海,描述】通过培训了解并掌握公司项目的技术架构，业务流程；掌握公司的开发流程/开发规范/质量体系，形成良好的开发习惯和意识；参与项目代码bug的修复；参与部门/公司组织的技术业务培训；完成公司安排的其他任务,,
Java开发实习工程师,150-200/天,本科,实习1个月,成都,,：1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，良好的编程习惯，能够独立分析并解决问题,：1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，良好的编程习惯，能够独立分析并解决问题
Java开发实习工程师,120-200/天,本科,实习1个月,西安,1、理解产品后端模块的架构设计、数据库表设计、部署架构设计。2、负责产品后端模块的代码开发、自测、与前端开发联调、打包发布等日常研发工作。3、负责产品文档的整理编辑,：1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，良好的编程习惯，能够独立分析并解决问题,：1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，良好的编程习惯，能够独立分析并解决问题
Java开发实习工程师,150-250/天,本科,实习1个月,广州,,：1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，良好的编程习惯，能够独立分析并解决问题,：1、基础素质：大学本科或以上学历，计算机相关专业；为人正直负责，具有良好的沟通能力和团队精神；有较强的自学能力和逻辑分析能力，良好的编程习惯，能够独立分析并解决问题
Java开发实习工程师,150-200/天,不限,实习6个月,上海,,,
Java研发工程师实习生,150-200/天,本科,实习6个月,合肥,,：1）计算机、软件、通信等相关专业本科及以上学历；2）对主流关系型数据库SqlServer或MySql有一定了解；3）热爱编程，熟悉或了解JAVA\C++\C#等编程语言中的一种或多种&semi;4）熟悉一种或以上开发技术框架，熟悉一种或以上开发工具，有开发相关实习经验优先,：1）计算机、软件、通信等相关专业本科及以上学历；2）对主流关系型数据库SqlServer或MySql有一定了解；3）热爱编程，熟悉或了解JAVA\C++\C#等编程语言中的一种或多种&semi;4）熟悉一种或以上开发技术框架，熟悉一种或以上开发工具，有开发相关实习经验优先
