岗位,薪水,学历要求,实习时长,上班地点,职责,要求,是否提供转正机会
前端开发实习生,120-180/天,本科,实习10个月,济南,：1.根据系统业务编码实现功能；2.参与团队代码review及相关文档编写；3.与产品经理及其他研发团队同时保持良好沟通，确保开发工作顺利进行。技能要求：1.html、css、js还原设计图能力，掌握rpx/rem+flex布局；2.掌握es6语法、less/sass预处理css、typescript；3.掌握react、vue等框架；4.熟悉webpack、gulp等自动化构建工具；5.熟悉微信小程序开发、canvas画图、vant ui,：1.html、css、js还原设计图能力，掌握rpx/rem+flex布局；2.掌握es6语法、less/sass预处理css、typescript；3.掌握react、vue等框架；4.熟悉webpack、gulp等自动化构建工具；5.熟悉微信小程序开发、canvas画图、vant ui,：1.html、css、js还原设计图能力，掌握rpx/rem+flex布局；2.掌握es6语法、less/sass预处理css、typescript；3.掌握react、vue等框架；4.熟悉webpack、gulp等自动化构建工具；5.熟悉微信小程序开发、canvas画图、vant ui
前端开发实习生,200-300/天,本科,实习6个月,福州,：1. 负责部门相关产品和项目的前端react开发工作任职资格：1. 本科院校计算机相关专业，有一定的前端开发基础2. 实习时间可支持半年及以上，有校招优先留用机会3. 对前端开发兴趣度高，熟悉react开发优先4. 良好的沟通，协调协作能力，积极乐观的工作心态注：目标群体为23届毕业生，22届勿扰,[],[]
前端开发实习生,100-180/天,大专,实习6个月,北京,,：1.统招专科学历及以上,：1.统招专科学历及以上
前端开发实习生,100-150/天,不限,实习6个月,广州,"1、协助微信、小程序、手机app、网站的页面的制作、维护、更新；2、能够根据页面设计效果图熟练完成切图和DIV+CSS的网页制作，符合W3C的兼容标准，保证制作质量；3、服从公司的发展要求，配合上级领导的工作安排。任职要求1、大专及以上学历；1.了解w3c组织制定的web标准、了解常用浏览器，能有效地解决浏览器兼容问题&semi;2、熟悉 JS, CSS, HTML5 等；3、掌握 JQUERY, VUE 等，熟练使用AJAX和后台进行交互；4、熟悉微信、小程序等前端相关的技术、流程及工具；5、有过前端作品和页面制作经验的优先&semi;例如开发活动推广、商城的H5或小程序、小游戏等6、本岗位欢迎优秀应届毕业生前来应聘",，配合上级领导的工作安排,，配合上级领导的工作安排
前端开发实习生,200-300/天,本科,实习3个月,上海,,,
前端开发实习,150-200/天,本科,实习3个月,深圳,,[],[]
前端开发实习生,100-150/天,大专,实习3个月,苏州,,,
前端开发工程师,100-200/天,本科,实习3个月,南京,,：1、 本科及以上学历，计算机相关专业，热爱前端技术；2、 专业成绩优良，获得过至少一次以上学校的奖学金或其它奖项；3、 熟悉HTML，CSS，JS的语法，并熟悉前后端的通信和联调方式；4、 具备良好的团队协同和融入沟通能力,：1、 本科及以上学历，计算机相关专业，热爱前端技术；2、 专业成绩优良，获得过至少一次以上学校的奖学金或其它奖项；3、 熟悉HTML，CSS，JS的语法，并熟悉前后端的通信和联调方式；4、 具备良好的团队协同和融入沟通能力
前端开发实习生,250-300/天,本科,实习5个月,上海,,,
前端开发工程师,200-300/天,本科,实习3个月,厦门,：1、负责瑞幸咖啡C端/B端全场景应用前端研发&semi;2、参与前端通用框架&组件库技术研发，开源维护工作；3、组织沉淀前端最佳开发实践、流程、工具，指导推广,"：1、本科以上学历、对前端有浓厚的兴趣；2、了解掌握ES6、HTML5、CSS3，TypeScript, Nodejs 等技术；3、至少掌握其中一种前端应用框架（VUE/REACT/EGGJS/KOA)；4、较好的沟通表达能力和学习能力，有过实践项目/小程序开发经验者优先","：1、本科以上学历、对前端有浓厚的兴趣；2、了解掌握ES6、HTML5、CSS3，TypeScript, Nodejs 等技术；3、至少掌握其中一种前端应用框架（VUE/REACT/EGGJS/KOA)；4、较好的沟通表达能力和学习能力，有过实践项目/小程序开发经验者优先"
前端开发实习生,100-150/天,本科,实习7个月,成都,,,
